Walking
subject_id	MeanXAccel	MeanYAccel	MeanZAccel	StdXAccel	StdYAccel	StdZAccel	MeanXGrav	MeanYGrav	MeanZGrav	StdXGrav	StdYGrav	StdZGrav	MeanXGyro	MeanYGyro	MeanZGyro	StdXGyro	StdYGyro	StdZGyro
 1	0.2773	-0.01738	-0.11115	-0.283740	 0.11446	-0.26003	0.9352	-0.28217	-0.068103	-0.9766	-0.9713	-0.9477	-0.0418310	-0.06953	0.08494	-0.47354	-0.054608	-0.34427
 2	0.2764	-0.01859	-0.10550	-0.423643	-0.07809	-0.42526	0.9130	-0.34661	 0.084727	-0.9727	-0.9721	-0.9721	-0.0530258	-0.04824	0.08283	-0.56155	-0.538454	-0.48109
 3	0.2756	-0.01718	-0.11267	-0.360357	-0.06991	-0.38741	0.9365	-0.26199	-0.138108	-0.9778	-0.9624	-0.9521	-0.0256405	-0.07792	0.08135	-0.57187	-0.563793	-0.47670
 4	0.2786	-0.01484	-0.11140	-0.440830	-0.07883	-0.58625	0.9640	-0.08585	 0.127764	-0.9838	-0.9680	-0.9630	-0.0317983	-0.07269	0.08057	-0.50092	-0.665394	-0.66261
 5	0.2778	-0.01729	-0.10774	-0.294099	 0.07675	-0.45702	0.9726	-0.10044	 0.002476	-0.9793	-0.9616	-0.9646	-0.0488920	-0.06901	0.08154	-0.49088	-0.504622	-0.31870
 6	0.2837	-0.01690	-0.11030	-0.296539	 0.16421	-0.50432	0.9581	-0.21469	 0.033189	-0.9778	-0.9642	-0.9572	-0.0255096	-0.07445	0.08388	-0.44602	-0.331702	-0.38314
 7	0.2756	-0.01865	-0.11091	-0.327243	-0.07726	 0.15963	0.9326	-0.15910	-0.160847	-0.9799	-0.9694	-0.9522	 0.0022884	-0.08371	0.06411	-0.50331	-0.231098	-0.39601
 8	0.2747	-0.01866	-0.10725	-0.173606	 0.38078	-0.14209	0.9136	-0.21710	-0.186268	-0.9748	-0.9568	-0.9566	 0.0235088	-0.09579	0.05097	-0.19921	-0.211997	-0.07544
 9	0.2785	-0.01809	-0.11082	-0.238354	-0.20170	-0.05796	0.9519	-0.03143	-0.115856	-0.9810	-0.9712	-0.9555	-0.0808361	-0.06256	0.11163	-0.47616	-0.467054	-0.26568
10	0.2786	-0.01702	-0.10906	-0.178710	-0.02274	-0.39565	0.9631	-0.08383	 0.054928	-0.9744	-0.9711	-0.9579	 0.0106895	-0.08195	0.09867	-0.41421	-0.250853	-0.17452
11	0.2718	-0.01665	-0.10610	-0.422842	-0.05221	-0.53063	0.9465	-0.21205	 0.134053	-0.9811	-0.9662	-0.9609	-0.0426929	-0.07051	0.08437	-0.59635	-0.499625	-0.43418
12	0.2771	-0.01556	-0.10316	-0.128899	-0.12278	-0.41061	0.9669	-0.15598	-0.036084	-0.9791	-0.9646	-0.9503	-0.1045137	-0.03443	0.09997	-0.54626	-0.449401	-0.35017
13	0.2759	-0.01857	-0.11143	-0.346980	 0.14187	-0.22050	0.9109	-0.28366	-0.131300	-0.9725	-0.9609	-0.9486	-0.0174208	-0.07985	0.07842	-0.37606	-0.290024	-0.36337
14	0.2720	-0.02178	-0.10676	-0.402639	-0.05361	 0.05188	0.8030	-0.27031	-0.422495	-0.9748	-0.9545	-0.9475	-0.0034766	-0.08297	0.05132	-0.60039	-0.014839	-0.12609
15	0.2739	-0.01708	-0.10762	-0.327962	 0.13891	-0.51893	0.9515	-0.23392	 0.075736	-0.9784	-0.9711	-0.9581	-0.0554884	-0.06124	0.08425	-0.32962	-0.420865	-0.48653
16	0.2760	-0.02043	-0.10880	-0.404693	-0.31457	-0.15980	0.9260	-0.06682	-0.217351	-0.9825	-0.9738	-0.9614	-0.0151722	-0.06960	0.08187	-0.65417	-0.612594	-0.36549
17	0.2723	-0.01849	-0.10979	-0.319500	-0.01758	-0.26582	0.9281	-0.17993	-0.190266	-0.9810	-0.9686	-0.9569	-0.0092227	-0.08398	0.07571	-0.47981	-0.454933	-0.38604
18	0.2739	-0.01780	-0.10422	-0.376006	-0.22701	-0.42835	0.9239	-0.25432	-0.060931	-0.9830	-0.9753	-0.9725	-0.0399400	-0.06137	0.09447	-0.70444	-0.496432	-0.51142
